var,coef val
Overall Qual,15262.720301690859
1st Flr SF,11327.145490427207
Mas Vnr Type_None,11215.68084729342
Garage Type_none,10896.638471921115
2nd Flr SF,10552.479317885276
Neighborhood_NridgHt,8859.031624575211
Kitchen Qual,7646.24381608801
Mas Vnr Type_BrkFace,7484.521509465138
Garage Type_Attchd,6669.7696664608975
Neighborhood_StoneBr,6089.427069929468
Mas Vnr Type_Stone,5889.257642176011
Exterior 2nd_VinylSd,5857.32783643029
Exter Qual,5761.887597111557
Roof Style_Hip,5653.909996364737
Garage Type_Detchd,5627.305187801407
Bsmt Exposure,5444.516381194989
Garage Qual,5036.933564585159
Neighborhood_NoRidge,4955.72760211704
Lot Area,4932.2961858330855
Mas Vnr Area,4924.744706633741
Garage Cars,4841.286906745286
Gr Liv Area,4751.9368368131745
Land Contour_HLS,3679.9379716797794
Bsmt Qual,3632.0522426753773
Garage Area,3625.8239284459305
Garage Type_BuiltIn,3594.2303666415955
Bsmt Full Bath,3180.4968781811285
MS SubClass_60,3126.8799311916296
Fireplace Qu,2768.0609808521103
BsmtFin SF 1,2476.8289827480694
Heating QC,2406.146404771852
Fireplaces,2401.7083735775404
TotRms AbvGrd,2400.8265192380786
BsmtFin Type 1,2315.302009204808
Roof Style_Gable,2076.515743438864
Full Bath,1646.4468524920976
Half Bath,1475.0254138096307
Paved Drive,1426.3431869936055
Garage Finish,1206.9150646142843
Central Air_Y,1167.2193492190568
Wood Deck SF,979.0247758500991
Garage Cond,956.1379763411119
Total Bsmt SF,646.1195545390838
Lot Shape,552.308985333769
MS SubClass_30,124.85957316315353
Open Porch SF,-4.815322861631557
Neighborhood_OldTown,-34.233554515082005
Electrical,-304.5999834373474
Foundation_PConc,-846.4711689695941
Foundation_CBlock,-1354.9948877204674
Bsmt Cond,-1714.950217518351
MS Zoning_RL,-2629.963913378851
MS Zoning_RM,-4761.837057632149
Exterior 1st_VinylSd,-4954.9456874849475
House Style_2Story,-5421.852368907912
